job_id,company_id,company_name,company_type,is_newly_founded,company_industry,job_title,role_category,job_description,responsibilities,requirements,skills_required,job_type,workplace_type,location,salary_min,salary_max,salary_currency,salary_period,experience_level,experience_years_min,experience_years_max,competition_level,applicant_count,is_fresher_friendly,is_early_applicant,freshness_label,is_active,posted_at
83,8,Oracle,MNC,False,Database & Enterprise Cloud,"Frontend Engineer (React.js, TypeScript & Tailwind)",Frontend,"Craft responsive swipe interfaces, analytics dashboards, and interactive user journeys.",Build modular UI components in React with Tailwind CSS; integrate REST APIs with graceful error handling.,"2+ years experience with modern React, TypeScript, state management (Redux/Context), and CSS animations.","[""React"", ""TypeScript"", ""Tailwind CSS"", ""Redux"", ""Framer Motion"", ""REST APIs"", ""Next.js""]",Full-time,Remote,"Remote, India",1381405,2532575,INR,Per Annum,Mid-level,2,4,High,132,False,False,Active,True,2026-08-28 07:06:02
84,8,Oracle,MNC,False,Database & Enterprise Cloud,AI Research & NLP Intern,AI/ML,Join our AI research team to perform exploratory data analysis on resume datasets and fine-tune NLP tokenizers.,Perform EDA and data cleaning on unstructured text; evaluate heuristic vs transformer matching scores.,Strong Python coding ability and academic foundation in statistical machine learning and NLP.,"[""Python"", ""Pandas"", ""NumPy"", ""scikit-learn"", ""spaCy"", ""NLP"", ""PyTorch""]",Internship,Remote,"Noida, Uttar Pradesh, India",37530,64338,INR,Per Month,Fresher,0,1,Medium,189,True,False,Just Posted,True,2026-09-13 00:06:02
85,9,IBM,MNC,False,Hybrid Cloud & Cognitive Enterprise,DevOps & Cloud Infrastructure Engineer,DevOps,Maintain containerized multi-service architectures and automate continuous integration and deployment pipelines.,Configure Docker Compose and Kubernetes pods; maintain CI workflows; manage AWS cloud resources.,"Solid experience in Docker containerization, Linux systems administration, and GitHub Actions CI.","[""Docker"", ""Kubernetes"", ""AWS"", ""GitHub Actions"", ""Terraform"", ""Linux"", ""PostgreSQL"", ""Redis""]",Full-time,Hybrid,"Bengaluru, Karnataka, India",1502723,2604721,INR,Per Annum,Mid-level,2,5,Medium,57,False,False,Active,True,2026-08-26 08:06:02
86,9,IBM,MNC,False,Hybrid Cloud & Cognitive Enterprise,Backend Software Engineer (Python / FastAPI),Backend,Design and build high-throughput RESTful services and distributed data pipelines.,Develop modular backend microservices in FastAPI; optimize database queries in PostgreSQL; configure Redis caching.,"Strong background in Python 3.10+, SQLAlchemy, async programming, and Docker containerization.","[""Python"", ""FastAPI"", ""PostgreSQL"", ""Redis"", ""Docker"", ""REST APIs"", ""Microservices""]",Full-time,On-site,"Delhi NCR / Gurugram, India",1681914,2883281,INR,Per Annum,Mid-level,2,5,High,88,False,False,Active,True,2026-09-02 05:06:02
87,9,IBM,MNC,False,Hybrid Cloud & Cognitive Enterprise,DevOps & Cloud Infrastructure Engineer,DevOps,Maintain containerized multi-service architectures and automate continuous integration and deployment pipelines.,Configure Docker Compose and Kubernetes pods; maintain CI workflows; manage AWS cloud resources.,"Solid experience in Docker containerization, Linux systems administration, and GitHub Actions CI.","[""Docker"", ""Kubernetes"", ""AWS"", ""GitHub Actions"", ""Terraform"", ""Linux"", ""PostgreSQL"", ""Redis""]",Full-time,Remote,"Bengaluru, Karnataka, India",1670556,2895631,INR,Per Annum,Mid-level,2,5,High,98,False,False,Active,True,2026-08-27 00:06:02
88,9,IBM,MNC,False,Hybrid Cloud & Cognitive Enterprise,Generative AI & LLM Systems Engineer,AI/ML,"Architect autonomous AI agents, structured LLM extraction pipelines, and RAG document search systems.",Build agentic workflows with LangChain; implement prompt guardrails and evaluation metrics; optimize token latency.,4+ years engineering experience with 2+ years deploying production RAG / LLM systems.,"[""Python"", ""OpenAI API"", ""LangChain"", ""LlamaIndex"", ""RAG"", ""Prompt Engineering"", ""FastAPI""]",Full-time,Remote,"Remote, India",2666689,4666707,INR,Per Annum,Senior,4,8,High,116,False,False,Active,True,2026-09-06 13:06:02
89,9,IBM,MNC,False,Hybrid Cloud & Cognitive Enterprise,AI / Machine Learning Engineer (NLP & Vector Search),AI/ML,"Develop semantic matching engines, ATS scoring models, and candidate recommendation algorithms.",Train embedding models for resume-to-job similarity; optimize cosine distance calculations; build ML inference APIs.,"Proven experience in NLP, embeddings, vector similarity search, and deep learning frameworks.","[""Python"", ""PyTorch"", ""Hugging Face"", ""spaCy"", ""sentence-transformers"", ""Vector DB"", ""ChromaDB"", ""scikit-learn""]",Full-time,On-site,"Pune, Maharashtra, India",1996202,3548803,INR,Per Annum,Mid-level,2,5,Medium,103,False,False,Active,True,2026-08-26 15:06:02
90,9,IBM,MNC,False,Hybrid Cloud & Cognitive Enterprise,Backend Software Engineer (Python / FastAPI),Backend,Design and build high-throughput RESTful services and distributed data pipelines.,Develop modular backend microservices in FastAPI; optimize database queries in PostgreSQL; configure Redis caching.,"Strong background in Python 3.10+, SQLAlchemy, async programming, and Docker containerization.","[""Python"", ""FastAPI"", ""PostgreSQL"", ""Redis"", ""Docker"", ""REST APIs"", ""Microservices""]",Full-time,Hybrid,"Pune, Maharashtra, India",1588340,2722869,INR,Per Annum,Mid-level,2,5,Medium,59,False,False,Active,True,2026-09-06 06:06:02
91,9,IBM,MNC,False,Hybrid Cloud & Cognitive Enterprise,Software Development Engineer in Test (SDET / QA),QA/Testing,"Build automated test suites for REST APIs, validate RBAC security policies, and maintain regression test beds.",Develop automated integration test cases using Pytest; maintain Postman collections; perform load and security tests.,Strong Python test automation skills and deep understanding of HTTP status codes and API specifications.,"[""Python"", ""Pytest"", ""Postman"", ""REST APIs"", ""Selenium"", ""Jest"", ""CI/CD""]",Full-time,Hybrid,"Noida, Uttar Pradesh, India",905177,1584059,INR,Per Annum,Entry-level,1,3,High,96,True,False,Active,True,2026-08-27 11:06:02
92,9,IBM,MNC,False,Hybrid Cloud & Cognitive Enterprise,Frontend Developer Intern (React & UI Design),Frontend,Hands-on frontend internship building swipe-based job discovery cards and mobile-first layouts.,Convert Figma designs to clean React components; implement responsive layouts and micro-interactions.,Demonstrated personal projects in React.js and strong knowledge of modern CSS/Tailwind.,"[""React"", ""JavaScript"", ""HTML5"", ""CSS3"", ""Tailwind CSS"", ""Git""]",Internship,Hybrid,"Delhi NCR / Gurugram, India",30413,54743,INR,Per Month,Fresher,0,1,High,159,True,False,Active,True,2026-09-02 21:06:02
93,9,IBM,MNC,False,Hybrid Cloud & Cognitive Enterprise,"Frontend Engineer (React.js, TypeScript & Tailwind)",Frontend,"Craft responsive swipe interfaces, analytics dashboards, and interactive user journeys.",Build modular UI components in React with Tailwind CSS; integrate REST APIs with graceful error handling.,"2+ years experience with modern React, TypeScript, state management (Redux/Context), and CSS animations.","[""React"", ""TypeScript"", ""Tailwind CSS"", ""Redux"", ""Framer Motion"", ""REST APIs"", ""Next.js""]",Full-time,On-site,"Hyderabad, Telangana, India",1438972,2638115,INR,Per Annum,Mid-level,2,4,High,212,False,False,Just Posted,True,2026-09-12 06:06:02
94,9,IBM,MNC,False,Hybrid Cloud & Cognitive Enterprise,Generative AI & LLM Systems Engineer,AI/ML,"Architect autonomous AI agents, structured LLM extraction pipelines, and RAG document search systems.",Build agentic workflows with LangChain; implement prompt guardrails and evaluation metrics; optimize token latency.,4+ years engineering experience with 2+ years deploying production RAG / LLM systems.,"[""Python"", ""OpenAI API"", ""LangChain"", ""LlamaIndex"", ""RAG"", ""Prompt Engineering"", ""FastAPI""]",Full-time,On-site,"Chennai, Tamil Nadu, India",2404786,4208376,INR,Per Annum,Senior,4,8,High,131,False,False,Active,True,2026-08-26 04:06:02
95,9,IBM,MNC,False,Hybrid Cloud & Cognitive Enterprise,Product Designer (UI/UX & Mobile Interactions),Design,"Design high-converting swipe interfaces, seamless recruiter portals, and accessible design system components.","Create user flows, wireframes, and interactive prototypes in Figma; conduct usability tests with job seekers.","Strong design portfolio with expertise in auto-layout, mobile micro-interactions, and design systems.","[""Figma"", ""UI/UX Design"", ""Wireframing"", ""Prototyping"", ""Design Systems"", ""User Research""]",Full-time,Remote,"Hyderabad, Telangana, India",1156666,1997877,INR,Per Annum,Mid-level,2,4,Medium,171,False,False,Active,True,2026-09-05 16:06:02
96,10,Salesforce,MNC,False,CRM & Enterprise SaaS,AI / Machine Learning Engineer (NLP & Vector Search),AI/ML,"Develop semantic matching engines, ATS scoring models, and candidate recommendation algorithms.",Train embedding models for resume-to-job similarity; optimize cosine distance calculations; build ML inference APIs.,"Proven experience in NLP, embeddings, vector similarity search, and deep learning frameworks.","[""Python"", ""PyTorch"", ""Hugging Face"", ""spaCy"", ""sentence-transformers"", ""Vector DB"", ""ChromaDB"", ""scikit-learn""]",Full-time,Remote,"Pune, Maharashtra, India",2148414,3819403,INR,Per Annum,Mid-level,2,5,Medium,173,False,False,Active,True,2026-09-09 06:06:02
97,10,Salesforce,MNC,False,CRM & Enterprise SaaS,Product Designer (UI/UX & Mobile Interactions),Design,"Design high-converting swipe interfaces, seamless recruiter portals, and accessible design system components.","Create user flows, wireframes, and interactive prototypes in Figma; conduct usability tests with job seekers.","Strong design portfolio with expertise in auto-layout, mobile micro-interactions, and design systems.","[""Figma"", ""UI/UX Design"", ""Wireframing"", ""Prototyping"", ""Design Systems"", ""User Research""]",Full-time,Remote,Remote (Global),1254126,2166219,INR,Per Annum,Mid-level,2,4,High,188,False,False,Active,True,2026-09-07 12:06:02
98,10,Salesforce,MNC,False,CRM & Enterprise SaaS,Software Development Engineer in Test (SDET / QA),QA/Testing,"Build automated test suites for REST APIs, validate RBAC security policies, and maintain regression test beds.",Develop automated integration test cases using Pytest; maintain Postman collections; perform load and security tests.,Strong Python test automation skills and deep understanding of HTTP status codes and API specifications.,"[""Python"", ""Pytest"", ""Postman"", ""REST APIs"", ""Selenium"", ""Jest"", ""CI/CD""]",Full-time,On-site,"Chennai, Tamil Nadu, India",972037,1701065,INR,Per Annum,Entry-level,1,3,High,106,True,False,Just Posted,True,2026-09-12 21:06:02
99,10,Salesforce,MNC,False,CRM & Enterprise SaaS,Junior Python Developer (Fresher Friendly),Backend,Kickstart your software engineering journey with mentorship from experienced architects.,Write clean Python code for CRUD operations; participate in code reviews and unit test writing in Pytest.,"B.Tech/B.E/BCA/MCA graduate with strong fundamentals in Python, OOP concepts, and SQL basics.","[""Python"", ""FastAPI"", ""SQL"", ""Git"", ""REST APIs"", ""Data Structures""]",Full-time,On-site,"Noida, Uttar Pradesh, India",623995,987993,INR,Per Annum,Fresher,0,1,Medium,218,True,False,Active,True,2026-09-08 13:06:02
100,10,Salesforce,MNC,False,CRM & Enterprise SaaS,Full Stack Engineer (FastAPI + React),Full Stack,Lead end-to-end feature delivery across frontend client apps and scalable backend services.,"Architect database schemas, implement business APIs, and craft pixel-perfect user dashboards.",Full-stack proficiency with Python/FastAPI backend and React/Next.js frontend.,"[""Python"", ""FastAPI"", ""React"", ""TypeScript"", ""PostgreSQL"", ""Docker"", ""Tailwind CSS""]",Full-time,On-site,"Bengaluru, Karnataka, India",1981005,3466760,INR,Per Annum,Mid-level,3,6,High,54,False,False,Active,True,2026-09-02 06:06:02
101,10,Salesforce,MNC,False,CRM & Enterprise SaaS,"Frontend Engineer (React.js, TypeScript & Tailwind)",Frontend,"Craft responsive swipe interfaces, analytics dashboards, and interactive user journeys.",Build modular UI components in React with Tailwind CSS; integrate REST APIs with graceful error handling.,"2+ years experience with modern React, TypeScript, state management (Redux/Context), and CSS animations.","[""React"", ""TypeScript"", ""Tailwind CSS"", ""Redux"", ""Framer Motion"", ""REST APIs"", ""Next.js""]",Full-time,On-site,"Mumbai, Maharashtra, India",1427547,2617170,INR,Per Annum,Mid-level,2,4,Medium,183,False,False,Active,True,2026-08-26 16:06:02
102,10,Salesforce,MNC,False,CRM & Enterprise SaaS,Data Analyst (Job Market & Hiring Intelligence),Data Analytics,"Analyze salary benchmarks, hiring velocity, and user swipe engagement patterns to generate market insights.",Write complex SQL queries for analytics; build executive Tableau dashboards; calculate candidate conversion funnels.,Proficient in SQL and statistical data analysis in Python (Pandas/Seaborn).,"[""SQL"", ""Python"", ""Pandas"", ""Tableau"", ""PowerBI"", ""Data Modeling"", ""Excel""]",Full-time,On-site,"Delhi NCR / Gurugram, India",1009288,1781097,INR,Per Annum,Entry-level,1,3,High,60,True,False,Recently Posted,True,2026-09-10 10:06:02
103,10,Salesforce,MNC,False,CRM & Enterprise SaaS,Junior Python Developer (Fresher Friendly),Backend,Kickstart your software engineering journey with mentorship from experienced architects.,Write clean Python code for CRUD operations; participate in code reviews and unit test writing in Pytest.,"B.Tech/B.E/BCA/MCA graduate with strong fundamentals in Python, OOP concepts, and SQL basics.","[""Python"", ""FastAPI"", ""SQL"", ""Git"", ""REST APIs"", ""Data Structures""]",Full-time,Remote,"Chennai, Tamil Nadu, India",625466,990322,INR,Per Annum,Fresher,0,1,High,149,True,False,Active,True,2026-09-06 04:06:02
104,10,Salesforce,MNC,False,CRM & Enterprise SaaS,Product Designer (UI/UX & Mobile Interactions),Design,"Design high-converting swipe interfaces, seamless recruiter portals, and accessible design system components.","Create user flows, wireframes, and interactive prototypes in Figma; conduct usability tests with job seekers.","Strong design portfolio with expertise in auto-layout, mobile micro-interactions, and design systems.","[""Figma"", ""UI/UX Design"", ""Wireframing"", ""Prototyping"", ""Design Systems"", ""User Research""]",Full-time,Remote,"Remote, India",1158771,2001515,INR,Per Annum,Mid-level,2,4,High,200,False,False,Active,True,2026-08-25 17:06:02
105,11,Razorpay,Startup,False,Fintech & Payments,Junior Python Developer (Fresher Friendly),Backend,Kickstart your software engineering journey with mentorship from experienced architects.,Write clean Python code for CRUD operations; participate in code reviews and unit test writing in Pytest.,"B.Tech/B.E/BCA/MCA graduate with strong fundamentals in Python, OOP concepts, and SQL basics.","[""Python"", ""FastAPI"", ""SQL"", ""Git"", ""REST APIs"", ""Data Structures""]",Full-time,Hybrid,"Mumbai, Maharashtra, India",746531,1182007,INR,Per Annum,Fresher,0,1,Medium,20,True,False,Active,True,2026-09-05 12:06:02
106,11,Razorpay,Startup,False,Fintech & Payments,Product Designer (UI/UX & Mobile Interactions),Design,"Design high-converting swipe interfaces, seamless recruiter portals, and accessible design system components.","Create user flows, wireframes, and interactive prototypes in Figma; conduct usability tests with job seekers.","Strong design portfolio with expertise in auto-layout, mobile micro-interactions, and design systems.","[""Figma"", ""UI/UX Design"", ""Wireframing"", ""Prototyping"", ""Design Systems"", ""User Research""]",Full-time,Hybrid,"Bengaluru, Karnataka, India",1233504,2130599,INR,Per Annum,Mid-level,2,4,Medium,48,False,False,Active,True,2026-09-06 18:06:02
107,11,Razorpay,Startup,False,Fintech & Payments,Data Analyst (Job Market & Hiring Intelligence),Data Analytics,"Analyze salary benchmarks, hiring velocity, and user swipe engagement patterns to generate market insights.",Write complex SQL queries for analytics; build executive Tableau dashboards; calculate candidate conversion funnels.,Proficient in SQL and statistical data analysis in Python (Pandas/Seaborn).,"[""SQL"", ""Python"", ""Pandas"", ""Tableau"", ""PowerBI"", ""Data Modeling"", ""Excel""]",Full-time,On-site,"Pune, Maharashtra, India",927880,1637435,INR,Per Annum,Entry-level,1,3,Medium,65,True,False,Active,True,2026-09-02 15:06:02
108,11,Razorpay,Startup,False,Fintech & Payments,DevOps & Cloud Infrastructure Engineer,DevOps,Maintain containerized multi-service architectures and automate continuous integration and deployment pipelines.,Configure Docker Compose and Kubernetes pods; maintain CI workflows; manage AWS cloud resources.,"Solid experience in Docker containerization, Linux systems administration, and GitHub Actions CI.","[""Docker"", ""Kubernetes"", ""AWS"", ""GitHub Actions"", ""Terraform"", ""Linux"", ""PostgreSQL"", ""Redis""]",Full-time,Hybrid,"Mumbai, Maharashtra, India",1976925,3426671,INR,Per Annum,Mid-level,2,5,Low,39,False,False,Active,True,2026-09-09 05:06:02
109,11,Razorpay,Startup,False,Fintech & Payments,"Frontend Engineer (React.js, TypeScript & Tailwind)",Frontend,"Craft responsive swipe interfaces, analytics dashboards, and interactive user journeys.",Build modular UI components in React with Tailwind CSS; integrate REST APIs with graceful error handling.,"2+ years experience with modern React, TypeScript, state management (Redux/Context), and CSS animations.","[""React"", ""TypeScript"", ""Tailwind CSS"", ""Redux"", ""Framer Motion"", ""REST APIs"", ""Next.js""]",Full-time,Hybrid,"Pune, Maharashtra, India",1504009,2757351,INR,Per Annum,Mid-level,2,4,Low,20,False,False,Recently Posted,True,2026-09-09 19:06:02
110,11,Razorpay,Startup,False,Fintech & Payments,AI / Machine Learning Engineer (NLP & Vector Search),AI/ML,"Develop semantic matching engines, ATS scoring models, and candidate recommendation algorithms.",Train embedding models for resume-to-job similarity; optimize cosine distance calculations; build ML inference APIs.,"Proven experience in NLP, embeddings, vector similarity search, and deep learning frameworks.","[""Python"", ""PyTorch"", ""Hugging Face"", ""spaCy"", ""sentence-transformers"", ""Vector DB"", ""ChromaDB"", ""scikit-learn""]",Full-time,Remote,Remote (Global),2227683,3960327,INR,Per Annum,Mid-level,2,5,Medium,70,False,False,Recently Posted,True,2026-09-09 11:06:02
111,11,Razorpay,Startup,False,Fintech & Payments,"Frontend Engineer (React.js, TypeScript & Tailwind)",Frontend,"Craft responsive swipe interfaces, analytics dashboards, and interactive user journeys.",Build modular UI components in React with Tailwind CSS; integrate REST APIs with graceful error handling.,"2+ years experience with modern React, TypeScript, state management (Redux/Context), and CSS animations.","[""React"", ""TypeScript"", ""Tailwind CSS"", ""Redux"", ""Framer Motion"", ""REST APIs"", ""Next.js""]",Full-time,Remote,"Hyderabad, Telangana, India",1199425,2198946,INR,Per Annum,Mid-level,2,4,Medium,16,False,False,Active,True,2026-08-27 17:06:02
112,11,Razorpay,Startup,False,Fintech & Payments,AI Research & NLP Intern,AI/ML,Join our AI research team to perform exploratory data analysis on resume datasets and fine-tune NLP tokenizers.,Perform EDA and data cleaning on unstructured text; evaluate heuristic vs transformer matching scores.,Strong Python coding ability and academic foundation in statistical machine learning and NLP.,"[""Python"", ""Pandas"", ""NumPy"", ""scikit-learn"", ""spaCy"", ""NLP"", ""PyTorch""]",Internship,On-site,"Chennai, Tamil Nadu, India",45261,77591,INR,Per Month,Fresher,0,1,Medium,30,True,False,Active,True,2026-08-27 23:06:02
113,11,Razorpay,Startup,False,Fintech & Payments,Frontend Developer Intern (React & UI Design),Frontend,Hands-on frontend internship building swipe-based job discovery cards and mobile-first layouts.,Convert Figma designs to clean React components; implement responsive layouts and micro-interactions.,Demonstrated personal projects in React.js and strong knowledge of modern CSS/Tailwind.,"[""React"", ""JavaScript"", ""HTML5"", ""CSS3"", ""Tailwind CSS"", ""Git""]",Internship,Hybrid,"Hyderabad, Telangana, India",30133,54239,INR,Per Month,Fresher,0,1,Medium,29,True,False,Active,True,2026-09-08 20:06:02
114,11,Razorpay,Startup,False,Fintech & Payments,Full Stack Engineer (FastAPI + React),Full Stack,Lead end-to-end feature delivery across frontend client apps and scalable backend services.,"Architect database schemas, implement business APIs, and craft pixel-perfect user dashboards.",Full-stack proficiency with Python/FastAPI backend and React/Next.js frontend.,"[""Python"", ""FastAPI"", ""React"", ""TypeScript"", ""PostgreSQL"", ""Docker"", ""Tailwind CSS""]",Full-time,On-site,"Mumbai, Maharashtra, India",1952279,3416488,INR,Per Annum,Mid-level,3,6,Medium,61,False,False,Active,True,2026-09-05 07:06:02
115,11,Razorpay,Startup,False,Fintech & Payments,Full Stack Engineer (FastAPI + React),Full Stack,Lead end-to-end feature delivery across frontend client apps and scalable backend services.,"Architect database schemas, implement business APIs, and craft pixel-perfect user dashboards.",Full-stack proficiency with Python/FastAPI backend and React/Next.js frontend.,"[""Python"", ""FastAPI"", ""React"", ""TypeScript"", ""PostgreSQL"", ""Docker"", ""Tailwind CSS""]",Full-time,Hybrid,"Bengaluru, Karnataka, India",1624071,2842125,INR,Per Annum,Mid-level,3,6,Low,51,False,False,Active,True,2026-09-09 02:06:02
116,11,Razorpay,Startup,False,Fintech & Payments,Backend Software Engineer (Python / FastAPI),Backend,Design and build high-throughput RESTful services and distributed data pipelines.,Develop modular backend microservices in FastAPI; optimize database queries in PostgreSQL; configure Redis caching.,"Strong background in Python 3.10+, SQLAlchemy, async programming, and Docker containerization.","[""Python"", ""FastAPI"", ""PostgreSQL"", ""Redis"", ""Docker"", ""REST APIs"", ""Microservices""]",Full-time,On-site,"Bengaluru, Karnataka, India",1807117,3097915,INR,Per Annum,Mid-level,2,5,Medium,60,False,False,Recently Posted,True,2026-09-10 16:06:02
117,11,Razorpay,Startup,False,Fintech & Payments,AI / Machine Learning Engineer (NLP & Vector Search),AI/ML,"Develop semantic matching engines, ATS scoring models, and candidate recommendation algorithms.",Train embedding models for resume-to-job similarity; optimize cosine distance calculations; build ML inference APIs.,"Proven experience in NLP, embeddings, vector similarity search, and deep learning frameworks.","[""Python"", ""PyTorch"", ""Hugging Face"", ""spaCy"", ""sentence-transformers"", ""Vector DB"", ""ChromaDB"", ""scikit-learn""]",Full-time,Hybrid,"Mumbai, Maharashtra, India",2064313,3669890,INR,Per Annum,Mid-level,2,5,Low,29,False,False,Just Posted,True,2026-09-12 10:06:02
118,12,Swiggy,Startup,False,Hyperlocal Delivery & Quick Commerce,Software Development Engineer in Test (SDET / QA),QA/Testing,"Build automated test suites for REST APIs, validate RBAC security policies, and maintain regression test beds.",Develop automated integration test cases using Pytest; maintain Postman collections; perform load and security tests.,Strong Python test automation skills and deep understanding of HTTP status codes and API specifications.,"[""Python"", ""Pytest"", ""Postman"", ""REST APIs"", ""Selenium"", ""Jest"", ""CI/CD""]",Full-time,Remote,Remote (Global),1043654,1826395,INR,Per Annum,Entry-level,1,3,Medium,17,True,False,Active,True,2026-08-25 12:06:02
119,12,Swiggy,Startup,False,Hyperlocal Delivery & Quick Commerce,Data Analyst (Job Market & Hiring Intelligence),Data Analytics,"Analyze salary benchmarks, hiring velocity, and user swipe engagement patterns to generate market insights.",Write complex SQL queries for analytics; build executive Tableau dashboards; calculate candidate conversion funnels.,Proficient in SQL and statistical data analysis in Python (Pandas/Seaborn).,"[""SQL"", ""Python"", ""Pandas"", ""Tableau"", ""PowerBI"", ""Data Modeling"", ""Excel""]",Full-time,Remote,"Remote, India",850527,1500930,INR,Per Annum,Entry-level,1,3,Low,25,True,False,Active,True,2026-08-30 10:06:02
120,12,Swiggy,Startup,False,Hyperlocal Delivery & Quick Commerce,AI / Machine Learning Engineer (NLP & Vector Search),AI/ML,"Develop semantic matching engines, ATS scoring models, and candidate recommendation algorithms.",Train embedding models for resume-to-job similarity; optimize cosine distance calculations; build ML inference APIs.,"Proven experience in NLP, embeddings, vector similarity search, and deep learning frameworks.","[""Python"", ""PyTorch"", ""Hugging Face"", ""spaCy"", ""sentence-transformers"", ""Vector DB"", ""ChromaDB"", ""scikit-learn""]",Full-time,Remote,"Chennai, Tamil Nadu, India",2369222,4211950,INR,Per Annum,Mid-level,2,5,Medium,36,False,False,Active,True,2026-09-08 04:06:02
121,12,Swiggy,Startup,False,Hyperlocal Delivery & Quick Commerce,Generative AI & LLM Systems Engineer,AI/ML,"Architect autonomous AI agents, structured LLM extraction pipelines, and RAG document search systems.",Build agentic workflows with LangChain; implement prompt guardrails and evaluation metrics; optimize token latency.,4+ years engineering experience with 2+ years deploying production RAG / LLM systems.,"[""Python"", ""OpenAI API"", ""LangChain"", ""LlamaIndex"", ""RAG"", ""Prompt Engineering"", ""FastAPI""]",Full-time,Hybrid,"Mumbai, Maharashtra, India",2530844,4428977,INR,Per Annum,Senior,4,8,Medium,29,False,False,Active,True,2026-09-07 20:06:02
122,12,Swiggy,Startup,False,Hyperlocal Delivery & Quick Commerce,AI / Machine Learning Engineer (NLP & Vector Search),AI/ML,"Develop semantic matching engines, ATS scoring models, and candidate recommendation algorithms.",Train embedding models for resume-to-job similarity; optimize cosine distance calculations; build ML inference APIs.,"Proven experience in NLP, embeddings, vector similarity search, and deep learning frameworks.","[""Python"", ""PyTorch"", ""Hugging Face"", ""spaCy"", ""sentence-transformers"", ""Vector DB"", ""ChromaDB"", ""scikit-learn""]",Full-time,Remote,"Remote, India",2133767,3793363,INR,Per Annum,Mid-level,2,5,Medium,64,False,False,Active,True,2026-08-27 06:06:02
123,12,Swiggy,Startup,False,Hyperlocal Delivery & Quick Commerce,Software Development Engineer in Test (SDET / QA),QA/Testing,"Build automated test suites for REST APIs, validate RBAC security policies, and maintain regression test beds.",Develop automated integration test cases using Pytest; maintain Postman collections; perform load and security tests.,Strong Python test automation skills and deep understanding of HTTP status codes and API specifications.,"[""Python"", ""Pytest"", ""Postman"", ""REST APIs"", ""Selenium"", ""Jest"", ""CI/CD""]",Full-time,Remote,Remote (Global),885692,1549961,INR,Per Annum,Entry-level,1,3,Medium,58,True,False,Just Posted,True,2026-09-11 14:06:02
124,12,Swiggy,Startup,False,Hyperlocal Delivery & Quick Commerce,Backend Software Engineer (Python / FastAPI),Backend,Design and build high-throughput RESTful services and distributed data pipelines.,Develop modular backend microservices in FastAPI; optimize database queries in PostgreSQL; configure Redis caching.,"Strong background in Python 3.10+, SQLAlchemy, async programming, and Docker containerization.","[""Python"", ""FastAPI"", ""PostgreSQL"", ""Redis"", ""Docker"", ""REST APIs"", ""Microservices""]",Full-time,Hybrid,"Delhi NCR / Gurugram, India",1384593,2373588,INR,Per Annum,Mid-level,2,5,Medium,48,False,False,Recently Posted,True,2026-09-10 00:06:02
125,12,Swiggy,Startup,False,Hyperlocal Delivery & Quick Commerce,Generative AI & LLM Systems Engineer,AI/ML,"Architect autonomous AI agents, structured LLM extraction pipelines, and RAG document search systems.",Build agentic workflows with LangChain; implement prompt guardrails and evaluation metrics; optimize token latency.,4+ years engineering experience with 2+ years deploying production RAG / LLM systems.,"[""Python"", ""OpenAI API"", ""LangChain"", ""LlamaIndex"", ""RAG"", ""Prompt Engineering"", ""FastAPI""]",Full-time,Remote,"Noida, Uttar Pradesh, India",3105463,5434561,INR,Per Annum,Senior,4,8,Low,33,False,False,Just Posted,True,2026-09-12 03:06:02
126,12,Swiggy,Startup,False,Hyperlocal Delivery & Quick Commerce,"Frontend Engineer (React.js, TypeScript & Tailwind)",Frontend,"Craft responsive swipe interfaces, analytics dashboards, and interactive user journeys.",Build modular UI components in React with Tailwind CSS; integrate REST APIs with graceful error handling.,"2+ years experience with modern React, TypeScript, state management (Redux/Context), and CSS animations.","[""React"", ""TypeScript"", ""Tailwind CSS"", ""Redux"", ""Framer Motion"", ""REST APIs"", ""Next.js""]",Full-time,On-site,"Hyderabad, Telangana, India",1388437,2545469,INR,Per Annum,Mid-level,2,4,Medium,49,False,False,Recently Posted,True,2026-09-10 05:06:02
127,12,Swiggy,Startup,False,Hyperlocal Delivery & Quick Commerce,DevOps & Cloud Infrastructure Engineer,DevOps,Maintain containerized multi-service architectures and automate continuous integration and deployment pipelines.,Configure Docker Compose and Kubernetes pods; maintain CI workflows; manage AWS cloud resources.,"Solid experience in Docker containerization, Linux systems administration, and GitHub Actions CI.","[""Docker"", ""Kubernetes"", ""AWS"", ""GitHub Actions"", ""Terraform"", ""Linux"", ""PostgreSQL"", ""Redis""]",Full-time,Hybrid,"Noida, Uttar Pradesh, India",1852636,3211236,INR,Per Annum,Mid-level,2,5,Medium,18,False,False,Active,True,2026-08-27 06:06:02
128,12,Swiggy,Startup,False,Hyperlocal Delivery & Quick Commerce,Full Stack Engineer (FastAPI + React),Full Stack,Lead end-to-end feature delivery across frontend client apps and scalable backend services.,"Architect database schemas, implement business APIs, and craft pixel-perfect user dashboards.",Full-stack proficiency with Python/FastAPI backend and React/Next.js frontend.,"[""Python"", ""FastAPI"", ""React"", ""TypeScript"", ""PostgreSQL"", ""Docker"", ""Tailwind CSS""]",Full-time,On-site,"Delhi NCR / Gurugram, India",1547036,2707313,INR,Per Annum,Mid-level,3,6,Low,73,False,False,Just Posted,True,2026-09-11 16:06:02
